[13:52:20.939] [TX Transmit] Thread started (3 ch, interval=1 ms).
[13:52:23.910] [Ch1 TX] Round=1      |   8 msg(s) |  230 bytes
[13:52:23.910] [Ch2 TX] Round=1      |   1 msg(s) |   43 bytes
[13:52:23.910] [Ch3 TX] Round=1      |   1 msg(s) |   43 bytes
[13:52:23.921] [Ch3 TX] Round=2      |   1 msg(s) |   43 bytes
[13:52:23.929] [Ch3 TX] Round=3      |   1 msg(s) |   43 bytes
[13:52:23.935] [Ch3 TX] Round=4      |   1 msg(s) |   43 bytes
[13:52:23.943] [Ch3 TX] Round=5      |   1 msg(s) |   43 bytes
[13:52:23.953] [Ch3 TX] Round=6      |   1 msg(s) |   43 bytes
[13:52:23.961] [Ch3 TX] Round=7      |   1 msg(s) |   43 bytes
[13:52:23.969] [Ch3 TX] Round=8      |   1 msg(s) |   43 bytes
[13:52:23.977] [Ch3 TX] Round=9      |   1 msg(s) |   43 bytes
[13:52:23.985] [Ch3 TX] Round=10     |   1 msg(s) |   43 bytes
[13:52:23.993] [Ch3 TX] Round=11     |   1 msg(s) |   43 bytes
[13:52:24.001] [Ch3 TX] Round=12     |   1 msg(s) |   43 bytes
[13:52:24.007] [Ch3 TX] Round=13     |   1 msg(s) |   43 bytes
[13:52:24.015] [Ch3 TX] Round=14     |   1 msg(s) |   43 bytes
[13:52:24.025] [Ch3 TX] Round=15     |   1 msg(s) |   43 bytes
[13:52:24.033] [Ch3 TX] Round=16     |   1 msg(s) |   43 bytes
[13:52:24.041] [Ch3 TX] Round=17     |   1 msg(s) |   43 bytes
[13:52:24.048] [Ch3 TX] Round=18     |   1 msg(s) |   43 bytes
[13:52:24.056] [Ch3 TX] Round=19     |   1 msg(s) |   43 bytes
[13:52:24.064] [Ch3 TX] Round=20     |   1 msg(s) |   43 bytes
[13:52:24.072] [Ch3 TX] Round=21     |   1 msg(s) |   43 bytes
[13:52:24.081] [Ch3 TX] Round=22     |   1 msg(s) |   43 bytes
[13:52:24.088] [Ch3 TX] Round=23     |   1 msg(s) |   43 bytes
[13:52:24.096] [Ch3 TX] Round=24     |   1 msg(s) |   43 bytes
[13:52:24.104] [Ch3 TX] Round=25     |   1 msg(s) |   43 bytes
[13:52:24.111] [Ch3 TX] Round=26     |   1 msg(s) |   43 bytes
[13:52:24.120] [Ch3 TX] Round=27     |   1 msg(s) |   43 bytes
[13:52:24.128] [Ch3 TX] Round=28     |   1 msg(s) |   43 bytes
[13:52:24.136] [Ch3 TX] Round=29     |   1 msg(s) |   43 bytes
[13:52:24.143] [Ch3 TX] Round=30     |   1 msg(s) |   43 bytes
[13:52:24.152] [Ch3 TX] Round=31     |   1 msg(s) |   43 bytes
[13:52:24.160] [Ch3 TX] Round=32     |   1 msg(s) |   43 bytes
[13:52:24.168] [Ch3 TX] Round=33     |   1 msg(s) |   43 bytes
[13:52:24.175] [Ch3 TX] Round=34     |   1 msg(s) |   43 bytes
[13:52:24.184] [Ch3 TX] Round=35     |   1 msg(s) |   43 bytes
[13:52:24.192] [Ch3 TX] Round=36     |   1 msg(s) |   43 bytes
[13:52:24.200] [Ch3 TX] Round=37     |   1 msg(s) |   43 bytes
[13:52:24.209] [Ch3 TX] Round=38     |   1 msg(s) |   43 bytes
[13:52:24.211] [Ch2 TX] Round=2      |   1 msg(s) |   43 bytes
[13:52:24.215] [Ch3 TX] Round=39     |   1 msg(s) |   43 bytes
[13:52:24.223] [Ch3 TX] Round=40     |   1 msg(s) |   43 bytes
[13:52:24.231] [Ch3 TX] Round=41     |   1 msg(s) |   43 bytes
[13:52:24.241] [Ch3 TX] Round=42     |   1 msg(s) |   43 bytes
[13:52:24.250] [Ch3 TX] Round=43     |   1 msg(s) |   43 bytes
[13:52:24.256] [Ch3 TX] Round=44     |   1 msg(s) |   43 bytes
[13:52:24.266] [Ch3 TX] Round=45     |   1 msg(s) |   43 bytes
[13:52:24.274] [Ch3 TX] Round=46     |   1 msg(s) |   43 bytes
[13:52:24.282] [Ch3 TX] Round=47     |   1 msg(s) |   43 bytes
[13:52:24.290] [Ch3 TX] Round=48     |   1 msg(s) |   43 bytes
[13:52:24.298] [Ch3 TX] Round=49     |   1 msg(s) |   43 bytes
[13:52:24.306] [Ch3 TX] Round=50     |   1 msg(s) |   43 bytes
[13:52:24.314] [Ch3 TX] Round=51     |   1 msg(s) |   43 bytes
[13:52:24.322] [Ch3 TX] Round=52     |   1 msg(s) |   43 bytes
[13:52:24.326] [Ch3 TX] Round=53     |   1 msg(s) |   43 bytes
[13:52:24.336] [Ch3 TX] Round=54     |   1 msg(s) |   43 bytes
[13:52:24.345] [Ch3 TX] Round=55     |   1 msg(s) |   43 bytes
[13:52:24.353] [Ch3 TX] Round=56     |   1 msg(s) |   43 bytes
[13:52:24.359] [Ch3 TX] Round=57     |   1 msg(s) |   43 bytes
[13:52:24.369] [Ch3 TX] Round=58     |   1 msg(s) |   43 bytes
[13:52:24.377] [Ch3 TX] Round=59     |   1 msg(s) |   43 bytes
[13:52:24.382] [Ch3 TX] Round=60     |   1 msg(s) |   43 bytes
[13:52:24.391] [Ch3 TX] Round=61     |   1 msg(s) |   43 bytes
[13:52:24.401] [Ch3 TX] Round=62     |   1 msg(s) |   43 bytes
[13:52:24.409] [Ch3 TX] Round=63     |   1 msg(s) |   43 bytes
[13:52:24.417] [Ch3 TX] Round=64     |   1 msg(s) |   43 bytes
[13:52:24.425] [Ch3 TX] Round=65     |   1 msg(s) |   43 bytes
[13:52:24.433] [Ch3 TX] Round=66     |   1 msg(s) |   43 bytes
[13:52:24.440] [Ch3 TX] Round=67     |   1 msg(s) |   43 bytes
[13:52:24.449] [Ch3 TX] Round=68     |   1 msg(s) |   43 bytes
[13:52:24.455] [Ch3 TX] Round=69     |   1 msg(s) |   43 bytes
[13:52:24.463] [Ch3 TX] Round=70     |   1 msg(s) |   43 bytes
[13:52:24.471] [Ch3 TX] Round=71     |   1 msg(s) |   43 bytes
[13:52:24.481] [Ch3 TX] Round=72     |   1 msg(s) |   43 bytes
[13:52:24.489] [Ch3 TX] Round=73     |   1 msg(s) |   43 bytes
[13:52:24.497] [Ch3 TX] Round=74     |   1 msg(s) |   43 bytes
[13:52:24.506] [Ch3 TX] Round=75     |   1 msg(s) |   43 bytes
[13:52:24.512] [Ch2 TX] Round=3      |   1 msg(s) |   43 bytes
[13:52:24.512] [Ch3 TX] Round=76     |   1 msg(s) |   43 bytes
[13:52:24.522] [Ch3 TX] Round=77     |   1 msg(s) |   43 bytes
[13:52:24.530] [Ch3 TX] Round=78     |   1 msg(s) |   43 bytes
[13:52:24.536] [Ch3 TX] Round=79     |   1 msg(s) |   43 bytes
[13:52:24.544] [Ch3 TX] Round=80     |   1 msg(s) |   43 bytes
[13:52:24.553] [Ch3 TX] Round=81     |   1 msg(s) |   43 bytes
[13:52:24.561] [Ch3 TX] Round=82     |   1 msg(s) |   43 bytes
[13:52:24.569] [Ch3 TX] Round=83     |   1 msg(s) |   43 bytes
[13:52:24.575] [Ch3 TX] Round=84     |   1 msg(s) |   43 bytes
[13:52:24.584] [Ch3 TX] Round=85     |   1 msg(s) |   43 bytes
[13:52:24.590] [Ch3 TX] Round=86     |   1 msg(s) |   43 bytes
[13:52:24.600] [Ch3 TX] Round=87     |   1 msg(s) |   43 bytes
[13:52:24.608] [Ch3 TX] Round=88     |   1 msg(s) |   43 bytes
[13:52:24.616] [Ch3 TX] Round=89     |   1 msg(s) |   43 bytes
[13:52:24.624] [Ch3 TX] Round=90     |   1 msg(s) |   43 bytes
[13:52:24.630] [Ch3 TX] Round=91     |   1 msg(s) |   43 bytes
[13:52:24.640] [Ch3 TX] Round=92     |   1 msg(s) |   43 bytes
[13:52:24.648] [Ch3 TX] Round=93     |   1 msg(s) |   43 bytes
[13:52:24.656] [Ch3 TX] Round=94     |   1 msg(s) |   43 bytes
[13:52:24.664] [Ch3 TX] Round=95     |   1 msg(s) |   43 bytes
[13:52:24.671] [Ch3 TX] Round=96     |   1 msg(s) |   43 bytes
[13:52:24.681] [Ch3 TX] Round=97     |   1 msg(s) |   43 bytes
[13:52:24.690] [Ch3 TX] Round=98     |   1 msg(s) |   43 bytes
[13:52:24.698] [Ch3 TX] Round=99     |   1 msg(s) |   43 bytes
[13:52:24.706] [Ch3 TX] Round=100    |   1 msg(s) |   43 bytes
[13:52:24.712] [Ch3 TX] Round=101    |   1 msg(s) |   43 bytes
[13:52:24.720] [Ch3 TX] Round=102    |   1 msg(s) |   43 bytes
[13:52:24.728] [Ch3 TX] Round=103    |   1 msg(s) |   43 bytes
[13:52:24.736] [Ch3 TX] Round=104    |   1 msg(s) |   43 bytes
[13:52:24.744] [Ch3 TX] Round=105    |   1 msg(s) |   43 bytes
[13:52:24.752] [Ch3 TX] Round=106    |   1 msg(s) |   43 bytes
[13:52:24.760] [Ch3 TX] Round=107    |   1 msg(s) |   43 bytes
[13:52:24.768] [Ch3 TX] Round=108    |   1 msg(s) |   43 bytes
[13:52:24.776] [Ch3 TX] Round=109    |   1 msg(s) |   43 bytes
[13:52:24.783] [Ch3 TX] Round=110    |   1 msg(s) |   43 bytes
[13:52:24.790] [Ch3 TX] Round=111    |   1 msg(s) |   43 bytes
[13:52:24.800] [Ch3 TX] Round=112    |   1 msg(s) |   43 bytes
[13:52:24.808] [Ch3 TX] Round=113    |   1 msg(s) |   43 bytes
[13:52:24.810] [Ch2 TX] Round=4      |   1 msg(s) |   43 bytes
[13:52:24.816] [Ch3 TX] Round=114    |   1 msg(s) |   43 bytes
[13:52:24.824] [Ch3 TX] Round=115    |   1 msg(s) |   43 bytes
[13:52:24.832] [Ch3 TX] Round=116    |   1 msg(s) |   43 bytes
[13:52:24.840] [Ch3 TX] Round=117    |   1 msg(s) |   43 bytes
[13:52:24.848] [Ch3 TX] Round=118    |   1 msg(s) |   43 bytes
[13:52:24.856] [Ch3 TX] Round=119    |   1 msg(s) |   43 bytes
[13:52:24.862] [Ch3 TX] Round=120    |   1 msg(s) |   43 bytes
[13:52:24.872] [Ch3 TX] Round=121    |   1 msg(s) |   43 bytes
[13:52:24.880] [Ch3 TX] Round=122    |   1 msg(s) |   43 bytes
[13:52:24.888] [Ch3 TX] Round=123    |   1 msg(s) |   43 bytes
[13:52:24.896] [Ch3 TX] Round=124    |   1 msg(s) |   43 bytes
[13:52:24.905] [Ch3 TX] Round=125    |   1 msg(s) |   43 bytes
[13:52:24.911] [Ch1 TX] Round=2      |   8 msg(s) |  230 bytes
[13:52:24.911] [Ch3 TX] Round=126    |   1 msg(s) |   43 bytes
[13:52:24.919] [Ch3 TX] Round=127    |   1 msg(s) |   43 bytes
[13:52:24.929] [Ch3 TX] Round=128    |   1 msg(s) |   43 bytes
[13:52:24.937] [Ch3 TX] Round=129    |   1 msg(s) |   43 bytes
[13:52:24.943] [Ch3 TX] Round=130    |   1 msg(s) |   43 bytes
[13:52:24.953] [Ch3 TX] Round=131    |   1 msg(s) |   43 bytes
[13:52:24.959] [Ch3 TX] Round=132    |   1 msg(s) |   43 bytes
[13:52:24.967] [Ch3 TX] Round=133    |   1 msg(s) |   43 bytes
[13:52:24.975] [Ch3 TX] Round=134    |   1 msg(s) |   43 bytes
[13:52:24.984] [Ch3 TX] Round=135    |   1 msg(s) |   43 bytes
[13:52:24.992] [Ch3 TX] Round=136    |   1 msg(s) |   43 bytes
[13:52:25.000] [Ch3 TX] Round=137    |   1 msg(s) |   43 bytes
[13:52:25.006] [Ch3 TX] Round=138    |   1 msg(s) |   43 bytes
[13:52:25.016] [Ch3 TX] Round=139    |   1 msg(s) |   43 bytes
[13:52:25.024] [Ch3 TX] Round=140    |   1 msg(s) |   43 bytes
